Company,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,year
Ess Kay Fincorp,Undisclosed,Rajasthan,Financial Services,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Series B,2019
TheCollegeFever,Undisclosed,Bangalore,Technology,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,Undisclosed,250000.0,Seed,2018
Happy Cow Dairy,Undisclosed,Mumbai,Technology,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,Undisclosed,600000.0,Seed,2018
MyLoanCare,Undisclosed,Gurgaon,Financial Services,Leading Online Loans Marketplace in India,Unknown,Undisclosed,975000.0,Series A,2018
PayMe India,Undisclosed,Noida,Financial Services,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown,Undisclosed,2000000.0,Angel,2018
Eunimart,Undisclosed,Hyderabad,Technology,Eunimart is a one stop solution for merchants to create a difference by selling globally.,Unknown,Undisclosed,3000000.0,Seed,2018
Hasura,Undisclosed,Bengaluru,Technology,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,Undisclosed,1600000.0,Seed,2018
Tripshelf,Undisclosed,Kalkaji,Technology,Tripshelf is an online market place for holiday packages.,Unknown,Undisclosed,240000.0,Seed,2018
Hyperdata.IO,Undisclosed,Hyderabad,Technology,Hyperdata combines advanced machine learning with human intelligence.,Unknown,Undisclosed,750000.0,Angel,2018
Freightwalla,Undisclosed,Mumbai,Technology,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,Undisclosed,3000000.0,Seed,2018
Microchip Payments,Undisclosed,Bangalore,Financial Services,Microchip payments is a mobile-based payment application and point-of-sale device,Unknown,Undisclosed,3000000.0,Seed,2018
BizCrum Infotech Pvt. Ltd.,Undisclosed,Delhi,Other,Building Transactionary B2B Marketplaces,Unknown,Undisclosed,3000000.0,Seed,2018
Emojifi,Undisclosed,Bengaluru,Other,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Unknown,Undisclosed,3000000.0,Seed,2018
Flock,Undisclosed,Atlanta,Technology,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,Undisclosed,3000000.0,Seed,2018
Freshboxx,Undisclosed,Hubli,Hospitality and Tourism,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Unknown,Undisclosed,3000000.0,Seed,2018
Wide Mobility Mechatronics,Undisclosed,Bangalore,Automotive and Transportation,Wide Mobility Mechatronics is a Private Company limited by Shares,Unknown,Undisclosed,3000000.0,Seed,2018
Pitstop,Undisclosed,Bengaluru,Technology,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,Undisclosed,1500000.0,Seed,2018
Mihuru,Undisclosed,Mumbai,Financial Services,Mihuru is an online platform which gives micro loans for air travel .,Unknown,Undisclosed,150000.0,Seed,2018
Fyle,Undisclosed,Bengaluru,Financial Services,Fyle is an intelligent expense management platform for enterprises.,Unknown,Undisclosed,1100000.0,Seed,2018
AppWharf,Undisclosed,New,Technology,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Unknown,Undisclosed,3000000.0,Seed,2018
Antariksh Waste Ventures Pvt ltd,Undisclosed,Chennai,Other,Waste Management for Smart Cities,Unknown,Undisclosed,7500.0,Seed,2018
Cogoport,Undisclosed,Mumbai,Technology,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Unknown,Undisclosed,6000000.0,Series A,2018
PaisaDukan,Undisclosed,Mumbai,Professional Services,A P2P lending marketplace platform,Unknown,Undisclosed,650000.0,Seed,2018
Sleepy Owl Coffee,Undisclosed,New,Hospitality and Tourism,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,Undisclosed,525000.0,Seed,2018
BlueJack,Undisclosed,Delhi,Automotive and Transportation,Delhi-based online used vehicles marketplace.,Unknown,Undisclosed,960000.0,Seed,2018
PregBuddy,Undisclosed,Bengaluru,Healthcare,PregBuddy is a smart connected care platform for expecting mothers.,Unknown,Undisclosed,3000000.0,Seed,2018
AgNext Technologies,Undisclosed,Mohali,Technology,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Unknown,Undisclosed,3000000.0,Series A,2018
Pando,Undisclosed,Chennai,Technology,A startup which digitizes logistics operations for Fortune 500 companies.,Unknown,Undisclosed,2000000.0,Seed,2018
Mintifi,Undisclosed,Mumbai,Financial Services,Online lending startup based in Mumbai.,Unknown,Undisclosed,2000000.0,Seed,2018
Carcrew,Undisclosed,Mumbai,Technology,India's Online Auto Repair Marketplace,Unknown,Undisclosed,2000000.0,Seed,2018
NicheAI,Undisclosed,Hyderabad,Technology,Early stage Artificial Intelligence (AI) start up.,Unknown,Undisclosed,3000000.0,Angel,2018
Chariot Tech,Undisclosed,New,Other,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown,Undisclosed,300000.0,Seed,2018
Ideal Insurance Brokers/ 121Policy.com,Undisclosed,Kolkata,Financial Services,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown,Undisclosed,1000000.0,Seed,2018
Loanzen,Undisclosed,Bangalore,Professional Services,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Unknown,Undisclosed,3000000.0,Seed,2018
Mojro Technologies,Undisclosed,Bengaluru,Technology,Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,Undisclosed,650000.0,Seed,2018
Elemential,Undisclosed,Mumbai,Financial Services,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,Undisclosed,1000000.0,Seed,2018
Loadshare,Undisclosed,Bengaluru,Technology,LoadShare is India’s fastest growing logistics company,Unknown,Undisclosed,5000000.0,Series A,2018
Yumlane,Undisclosed,Mumbai,Hospitality and Tourism,Food startup Yumlane operated by QwikPik Technology,Unknown,Undisclosed,4000000.0,Series A,2018
Kriger Campus,Undisclosed,New,Education,A Education Start Up.,Unknown,Undisclosed,450000.0,Seed,2018
Pipa+Bella,Undisclosed,Mumbai,Technology,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Unknown,Undisclosed,1000000.0,Series A,2018
Kaleidofin,Undisclosed,Chennai,Professional Services,A fintech platform.,Unknown,Undisclosed,2800000.0,Seed,2018
Chakr Innovation,Undisclosed,New,Energy,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,Unknown,Undisclosed,3000000.0,Seed,2018
IndigoLearn,Undisclosed,Hyderabad,Education,India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown,Undisclosed,150000.0,Seed,2018
UClean,Undisclosed,Faridabad,Technology,UClean is a tech enabled laundry service provider.,Unknown,Undisclosed,600000.0,Seed,2018
Coutloot,Undisclosed,Mumbai,Retail and E-Commerce,The Fashion Re-commerce platform.,Unknown,Undisclosed,1000000.0,Seed,2018
Letstrack,Undisclosed,New,Other,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",Unknown,Undisclosed,1700000.0,Seed,2018
Pooltoo,Undisclosed,New,Hospitality and Tourism,Pooltoo offers a premium ride sharing platform.,Unknown,Undisclosed,3000000.0,Seed,2018
Finzy,Undisclosed,Bangalore,Financial Services,finzy is the premier peer to peer lending solution in India.,Unknown,Undisclosed,1300000.0,Seed,2018
Fitternity,Undisclosed,Mumbai,Healthcare,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,Unknown,Undisclosed,2000000.0,Seed,2018
Keito,Undisclosed,Pune,Education,Building an Intelligent Digital Assistant.,Unknown,Undisclosed,3000000.0,Seed,2018
Tolet for Students,Undisclosed,Jodhpur,Healthcare,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",Unknown,Undisclosed,75000.0,Seed,2018
Chai Kings,Undisclosed,Chennai,Hospitality and Tourism,Chai Kings is a tea retail chain,Unknown,Undisclosed,300000.0,Seed,2018
Dainik Jagran,Undisclosed,Kanpur,Healthcare,Dainik Jagran is a media and communications group.,Unknown,Undisclosed,600000.0,Seed,2018
Playtoome,Undisclosed,Bengaluru,Healthcare,Playtoome is a live entertainment destination,Unknown,Undisclosed,300000.0,Seed,2018
ONGO Framework,Undisclosed,Hyderabad,Technology,ONGO Framework is a B2B IT and digital solution provider.,Unknown,Undisclosed,1000000.0,Angel,2018
Notesgen,Undisclosed,New,Education,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown,Undisclosed,187500.0,Seed,2018
Arogya MedTech,Undisclosed,Kolkata,Healthcare,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown,Undisclosed,225000.0,Seed,2018
Propshop24,Undisclosed,Mumbai,Retail and E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,Undisclosed,500000.0,Seed,2018
myUpchar,Undisclosed,New,Healthcare,To bring health issues to people in their language.,Unknown,Undisclosed,5000000.0,Series A,2018
MissMalini Entertainment,Undisclosed,Mumbai,Other,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown,Undisclosed,1560000.0,Seed,2018
Rooter,Undisclosed,New,Media and Entertainment,Rooter is a mobile-based platform,Unknown,Undisclosed,675000.0,Seed,2018
ZestMoney,Undisclosed,Bangalore,Financial Services,Zest is India's first completely automated consumer digital lending platform.,Unknown,Undisclosed,13400000.0,Series A,2018
alphaics Corporation,Undisclosed,Bengaluru,Technology,Advancing AI compute,Unknown,Undisclosed,3000000.0,Seed,2018
MyDentistChoice,Undisclosed,Hyderabad,Healthcare,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,Undisclosed,500000.0,Seed,2018
Sattviko,Undisclosed,New,Technology,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,Unknown,Undisclosed,3000000.0,Angel,2018
Sensibull,Undisclosed,Bangalore,Financial Services,Investment Management Platform,Unknown,Undisclosed,375000.0,Seed,2018
Bombay Shaving Company,Undisclosed,New,Consumer Goods,Bombay Shaving Company is a Men's grooming startup,Unknown,Undisclosed,3000000.0,Series A,2018
MedCords,Undisclosed,Pune,Healthcare,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,Undisclosed,396000.0,Seed,2018
University Living,Undisclosed,New,Education,University Living is an online global student housing marketplace.,Unknown,Undisclosed,3000000.0,Seed,2018
&ME,Undisclosed,Bangalore,Healthcare,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Unknown,Undisclosed,3000000.0,Seed,2018
Enakshi,Undisclosed,Ahmedabad,Retail and E-Commerce,Enakshi is an online apparel brand for women.,Unknown,Undisclosed,120000.0,Seed,2018
Ultraviolette Automotive,Undisclosed,Bangalore,Hospitality and Tourism,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,Undisclosed,900.0,Series A,2018
Inthree Access,Undisclosed,Chennai,Technology,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,Unknown,Undisclosed,4000000.0,Series A,2018
BUGWORKS Research India,Undisclosed,Bangalore,Healthcare,BUGWORKS is a drug discovery company.,Unknown,Undisclosed,9000000.0,Series A,2018
Guardian.in,Undisclosed,Mumbai,Healthcare,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Unknown,Undisclosed,3000000.0,Seed,2018
PrestLoans,Undisclosed,New,Financial Services,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown,Undisclosed,100000.0,Seed,2018
Wimoxez,Undisclosed,Hyderabad,Other,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,Undisclosed,20000.0,Seed,2018
India Accelerator,Undisclosed,Gurgaon,Technology,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Unknown,Undisclosed,3000000.0,Angel,2018
HappyEMI,Undisclosed,Bangalore,Financial Services,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,Undisclosed,1000000.0,Seed,2018
Wishup,Undisclosed,Azadpur,Technology,Premium Personal Assistance service,Unknown,Undisclosed,3000000.0,Seed,2018
Hansel.io,Undisclosed,Bangalore,Consumer Goods,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,Undisclosed,4000000.0,Series A,2018
Propelld,Undisclosed,Bengaluru,Financial Services,Propelld is a student education financing platform.,Unknown,Undisclosed,250000.0,Seed,2018
PivotRoots,Undisclosed,Mumbai,Technology,Digital Marketing powered by Data & Technology; fueled by Design thinking,Unknown,Undisclosed,3000000.0,Series A,2018
ZiffyHomes,Undisclosed,New,Technology,ZiffyHomes is a technology driven marketplace to find out home on rent.,Unknown,Undisclosed,120000.0,Seed,2018
Carmesi,Undisclosed,Gurgaon,Healthcare,Carmesi is a brand of high-end menstrual-hygiene products in India.,Unknown,Undisclosed,510000.0,Seed,2018
OckyPocky,Undisclosed,Haryana,Education,OckyPocky is a interactive and personalised language learning app for preschool kids.,Unknown,Undisclosed,3000000.0,Angel,2018
Racetrack,Undisclosed,Bangalore,Technology,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,Undisclosed,5130000.0,Seed,2018
WHR,Undisclosed,Pune,Healthcare,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Unknown,Undisclosed,143145.0,Seed,2018
Asteria Aerospace,Undisclosed,Bangalore,Aerospace and Defense,Asteria Aerospace is a robotics and artificial intelligence company.,Unknown,Undisclosed,3000000.0,Seed,2018
FabAlley,Undisclosed,Noida,Retail and E-Commerce,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Unknown,Undisclosed,9000000.0,Series B,2018
Tranzmeo,Undisclosed,Cochin,Education,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,Unknown,Undisclosed,3000000.0,Pre-Seed,2018
SBI Life,Undisclosed,Mumbai,Financial Services,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,Undisclosed,742000000.0,Private Equity,2018
Studds Accessories,Undisclosed,Faridabad,Retail and E-Commerce,Studds Accessories is a scooter accessories service provider in India,Unknown,Undisclosed,15000000.0,Private Equity,2018
Design Cafe,Undisclosed,Bengaluru,Technology,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,Undisclosed,30000000.0,Series B,2018
NoPaperForms Solutions Pvt. Ltd.,Undisclosed,New,Education,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,Undisclosed,3980000.0,Series B,2018
Rays Power Infra,Undisclosed,Jaipur,Technology,Rays Power Infra is a leading integrated Solar Power Company.,Unknown,Undisclosed,30000000.0,Series B,2018
